date,location,organiser,Title,band_1,band_2,band_3,band_4,band_5,band_6,poster_url,links
2020-02-08,underground,stoa60,gig,MOTIFF,BABY CULT,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-02-08_motiff-baby-cult.jpg,
2020-02-01,underground,stoa60,gig,YOVEL,DEMENTIA,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-02-01_yovel-dementia.jpg,
2020-01-26,underground,stoa60,gig,THE SEXY CHRISTIANS,THYMICS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-26_the-sexy-christians-thymics.jpg,
2020-01-25,underground,ba2037,Saturday Takeover,LYCURGUS,IMPEDANCE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-25_Lycurgus.jpg,
2020-01-19,underground,ba2037,Experimental Sundays,EAZY,RND ACCESS,MX,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-19_EAZYRND.jpg,
2020-01-18,underground,stoa60,gig,BELOW THE BOTTOM,REPRISAL,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-18_below-the-bottom-reprisal_v2.jpg,
2020-01-11,underground,stoa60,gig,NURSE OF WAR,ΟΤΟΜΠΡΙΤΣΙ ΜΟΤΟΡΙ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-11_nurse-of-war-otompritsi-motori.jpg,
2020-01-04,underground,stoa60,gig,TIDAL SHOCK,PRIMO BAKE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2020-01-04_tidal-shock-primo-bake.jpg,
2019-12-14,underground,ba2037,Saturday Takeover,PS STAMPS BACK,MOLFETUS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-12-14_MOLFETUS.jpg,
2019-12-12,underground,stoa60,gig,ΔΡΑΜΑ ΚΩΜΙΚΟΥ,ΑΝΤΙΘΕΤΗ ΦΩΝΗ,ΛΟΓΟΥ ΧΑΡΙΝ,ΣΑΙΚΟ,NYX,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-12-12_drama.jpg,
2019-12-01,underground,stoa60,gig,HEAD ON,LITTLE VIRGIN EXPERIENCE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-01-12_head-on-little-virgin-experience.jpg,
2019-11-30,underground,stoa60,gig,REVERB SNATCHERS,THE THIN BASTARDS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-30_reverb-snatchers-the-thin-bastards.jpg,
2019-11-24,underground,ba2037,Experimental Sundays,ΞΕΦΡΕΝΟ ΑΕΡΟΣΤΑΤΟ,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-24_xefreno.jpg,
2019-11-23,underground,stoa60,gig,HAND & LEG,HUMACHINES,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-23_hand-and-leg-humachines.jpg,
2019-11-16,underground,stoa60,gig,THREE WAY PLANE,BLOCK 16,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-16_threewayblock.jpg,
2019-11-09,underground,stoa60,gig,VISIONS OF WAR,PUNKOFONIX,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-09_visions-of-war-punkofonix.jpg,
2019-11-02,underground,ba2037,Saturday Takeover,ANTON BEATBOX,IMPEDANCE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-11-02_TAKEOVER1.jpg,
2019-10-26,underground,stoa60,gig,THYMICS,MELLOW LIZARD,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-10-26_thymics-mellow-lizard_fb.jpg,
2019-10-19,underground,"stoa60, vomvos",Underworld Rises,EMBRACE OF THORNS,SLAUGHTERED PRIEST,YOVEL,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-10-19_underworld-rises-festival-vii-embrace-of-thorns-slaughtered-priest-yovel.jpg,
2019-10-12,underground,stoa60,gig,BAZOOKA,GAY ANNIVERSARY,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-10-12_bazooka-gay-anniversary.jpg,
2019-10-05,underground,stoa60,gig,THE BOOMS,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-10-05_the-booms.jpg,
2019-09-28,underground,stoa60,gig,SITARSONIC,BJORN ALPHA,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-09-28_sitarsonic-bjorn-alpha.jpg,
2019-09-20,underground,stoa60,gig,KOHU 63,THE THIN BASTARDS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-09-20_kohu-63-the-thin-bastards_fb.jpg,
2019-09-14,karabolas,"stoa60, vomvos",Down Tuned Dazed,BUS,OKWAHO,THYMICS,TIDAL SHOCK,HASHIYA,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-09-14_downtuneddaze_fest.jpg,
2019-09-07,karabolas,stoa60,Party,PARTY STOA 60,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-09-07_party-stoa60.jpg,
2019-08-31,karabolas,stoa60,Party,PARTY BA2037,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-08-31_karavolas.jpg,
2019-07-13,karabolas,stoa60,Tsurai Fest,ΝΟΜΟΣ 751,$OFT $KULL,KOONOOPOMANA,DURY DAVA,GRIN,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-07-13_tsurai2_fest.jpg,
2019-06-15,karabolas,stoa60,Fertility Fest,THYMICS,MELLOW LIZARD,QUEEN TAKES JACK,HUMACHINES,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-06-15-dayoffertility.jpg,
2019-05-25,karabolas,stoa60,gig,MAZOHA,BLAKAUT,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-05-25_mazoha-blakaut.jpg,
2019-05-18,voutes,"rastapank, ba2037",Makrovoutes,VENUS VOLCANISM IN ATLAS,KRATS,FETA NAGASAKI,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-05-18_makro.jpg,
2019-05-16,voutes,"rastapank, stoa60",Makrovoutes,TIDAL SHOCK,THYMICS,GRIN,BABY CULT,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-05-16-makrovoutes_fest.jpg,
2019-05-11,underground,stoa60,gig,ΑΓΟΡΙΑΣΤΟΝΗΛΙΟ,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-05-11_agoriastonilio.jpg,
2019-05-04,karabolas,stoa60,Party,PARTY,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-05-04_party.jpg,
2019-04-14,underground,ba2037,Experimental Sundays,KOSTADIS,TURBO TEETH,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-04-14_kostadis.jpg,
2019-04-08,underground,stoa60,gig,MONOVINE,THYMICS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-04-08_monovine-thymics.jpg,
2019-04-04,underground,stoa60,gig,MR. CLARINET,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-04-04_mr-clarinet.jpg,
2019-03-31,underground,ba2037,Experimental Sundays,LAST DAYS OF SEX,SOLAR ANUS,KRATS,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-31_Lastdays.jpg,
2019-03-30,underground,stoa60,gig,100TH ANNIVERSARY,MELLOW LIZARD,SKUMA,GRIN,HUMACHINES,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-30_100th-anniversary-mellow-lizard-skuma-grin-humachines.jpg,
